matchId,blueTeamDragonKills,blueTeamFirstBlood,redTeamDragonKills,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueTeamTotalDamageToChamps_diff,blueWin
EUW1_6874724637,2,1,0,-2,4,17,0,5,0,2,43,55,12817,8804,11497,1
EUW1_6874637489,1,1,1,0,3,-8,-1,-3,0,-11,-3,-24,-5227,-2934,-9786,0
EUW1_6872703570,1,1,1,-4,-4,-4,0,0,0,-2,-34,40,-1602,698,-16047,0
EUW1_6861988370,1,1,1,-1,-6,-23,0,-2,0,-8,-93,-13,-11844,-6601,-26503,0
EUW1_6859359518,1,0,1,-3,15,10,1,1,0,-5,1,7,3177,1871,14852,1
EUW1_6883761574,0,1,2,2,20,2,0,2,0,-5,-57,-3,374,-2999,-4667,1
EUW1_6883721526,0,0,1,0,-7,1,1,-1,0,-11,-7,0,17,104,-2029,1
EUW1_6882844489,1,1,0,-4,-1,1,1,0,0,-2,32,30,2689,3579,7917,1
EUW1_6882602348,1,0,1,-6,-4,-4,0,-4,0,-12,-63,-41,-5011,-1872,-9209,0
EUW1_6882492547,1,0,1,4,-9,11,0,-1,0,-7,15,75,6499,7756,10884,1
EUW1_6882467513,1,1,1,-2,3,-8,0,-2,0,-11,-5,9,-5212,-2111,-6567,0
EUW1_6882441778,1,0,1,1,3,-5,0,0,0,-8,-4,29,-695,112,-388,0
EUW1_6882396224,2,1,0,6,-2,16,0,0,0,1,52,-42,7592,2947,11531,1
EUW1_6882388692,2,1,0,-4,-17,3,0,1,0,5,41,6,3758,4677,-797,1
EUW1_6882370855,2,0,0,-2,-5,4,0,-1,0,-10,-38,17,430,2402,7077,1
EUW1_6880715031,0,0,2,0,-2,-6,0,-1,0,-9,-24,24,-2962,-702,-1831,0
EUW1_6880686253,1,0,1,3,4,-8,-1,-2,0,-9,-47,-32,-8015,-4387,-10593,0
EUW1_6880669173,0,0,1,0,-15,-19,-1,-2,0,-11,-89,-38,-11187,-7946,-10536,0
EUW1_6880637719,0,0,1,-3,-10,-15,0,-2,0,-15,-24,-5,-7905,-908,-9374,0
EUW1_6883771149,1,1,1,2,4,4,0,2,0,0,29,-15,2951,54,7561,1
EUW1_6883738109,1,1,0,2,-1,4,0,0,0,-3,-4,-4,1334,1459,1160,0
EUW1_6883723940,1,1,1,1,-3,5,0,0,0,-9,-28,31,1575,3358,5017,1
EUW1_6883714873,1,0,1,3,4,9,-1,0,0,2,-33,-24,4575,2106,5302,1
EUW1_6883708126,0,0,1,4,3,3,0,0,0,-6,-34,4,269,-763,879,1
EUW1_6883672886,2,1,0,1,-28,4,0,-1,0,-4,-57,0,-960,-774,3566,1
EUW1_6883637839,1,0,1,6,-5,3,0,-1,0,-5,-54,-15,-708,-1736,1212,0
EUW1_6883615250,2,0,0,0,-11,7,0,0,0,-3,-58,0,1477,1268,208,1
EUW1_6883584165,0,1,0,2,-70,3,0,0,0,-3,14,-1,2109,-550,12339,1
