matchId,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamDragonKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamFirstBlood_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueWin
EUN1_3573977089,2,11,-11,-2,0,-2,0,11,-390,255,-31529,-9528,-10438,0
EUN1_3573461694,-5,-19,-1,1,0,-1,0,11,-360,206,-28390,-5084,-7451,0
EUN1_3573454514,-1,146,-8,0,0,1,0,-1,-339,244,-32890,-2123,-3000,0
EUN1_3572914040,-1,0,2,-2,0,-1,0,3,-305,258,-26164,1663,-4435,1
EUN1_3572906667,1,-11,1,1,0,0,0,4,-313,217,-29625,1899,-11168,0
EUN1_3572894649,0,-10,5,1,0,1,0,2,-348,250,-27047,-407,1180,1
EUN1_3572014658,3,1,3,0,-1,1,0,-3,-319,263,-27229,-449,-3344,1
EUN1_3571993834,-5,-396,0,-2,0,0,0,5,-355,235,-27666,-4125,-2183,0
EUN1_3575896496,-2,25,6,-2,0,-1,0,2,-351,306,-25256,3889,6875,1
EUN1_3575875892,2,-3,8,0,1,1,0,-1,-308,328,-21660,2740,13084,1
EUN1_3575482298,0,3,11,1,0,-1,0,7,-309,238,-29332,2046,-4618,1
EUN1_3575446553,3,-68,-8,-2,0,0,0,9,-359,221,-28952,-8123,-2994,0
EUN1_3569115559,-3,-67,4,0,1,0,0,4,-384,290,-27838,-647,215,1
EUN1_3569097356,1,-112,0,-1,0,-2,0,8,-363,318,-28935,-1539,-3574,1
EUN1_3568074524,0,-6,0,-1,0,-1,0,6,-331,230,-25304,-2190,-415,0
EUN1_3567566259,-2,162,-2,0,-1,0,0,8,-335,221,-29387,-3720,-3056,0
EUN1_3567554541,-2,6,-9,-2,0,-1,0,6,-324,219,-32756,-4600,-10337,0
EUN1_3567389251,-3,6,1,2,0,0,0,2,-383,221,-27233,-5148,575,1
EUN1_3567302867,3,6,-8,-2,0,-2,0,4,-394,252,-30717,-8036,-10428,0
